Price;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
50.0;1.0;4;1.0;2.0;2.0;3;15;2;1125;0;192;0;0;0;0;0;0;1
72.0;10.0;5;1.0;2.0;2.0;2;12;2;1125;55;215;0;0;0;0;0;0;1
55.0;3.0;5;1.0;2.0;3.0;2;12;4;1125;28;278;0;0;0;0;0;0;1
45.0;2.0;3;1.0;0.0;2.0;1;7;3;1125;66;341;0;0;0;0;0;0;1
28.0;2.0;2;1.0;1.0;1.0;1;5;1;1125;90;365;1;0;0;0;0;0;1
140.0;164.0;6;1.0;2.0;3.0;2;10;2;1125;59;334;0;0;0;0;0;0;1
36.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;15;15;1;0;0;0;0;0;1
28.0;1.0;2;1.0;1.0;1.0;1;5;3;1125;0;0;1;0;0;0;0;0;1
36.0;3.0;4;1.0;2.0;3.0;1;0;1;1125;0;97;0;0;0;0;0;0;1
16.0;2.0;3;2.0;1.0;1.0;1;10;1;1125;86;361;1;0;0;0;0;0;1
70.0;26.0;4;1.0;0.0;4.0;1;0;2;30;51;313;0;0;0;0;0;0;1
78.0;2.0;4;2.0;2.0;2.0;4;0;5;1125;11;281;0;0;0;0;0;0;1
13.0;1.0;1;1.0;1.0;1.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
50.0;1.0;2;1.0;2.0;1.0;1;0;2;1125;51;307;0;0;0;0;0;0;1
80.0;1.0;3;1.0;1.0;2.0;1;0;3;1125;70;156;0;0;0;0;0;0;1
50.0;26.0;2;1.0;0.0;1.0;1;0;2;30;49;313;0;0;0;0;0;0;1
155.0;12.0;3;1.5;1.0;1.0;2;15;7;1125;74;164;0;0;0;0;0;0;1
30.0;2.0;2;1.0;1.0;1.0;1;0;1;1125;85;360;1;0;0;0;0;0;1
18.0;2.0;1;1.0;1.0;1.0;1;0;3;1125;0;250;1;0;0;0;0;0;1
45.0;1.0;2;1.0;0.0;1.0;1;0;7;14;9;9;0;0;0;0;0;0;1
100.0;5.0;4;1.0;0.0;2.0;1;0;1;90;78;351;1;0;0;0;0;0;1
24.0;2.0;2;1.0;1.0;2.0;1;10;2;1125;6;281;1;0;0;0;0;0;1
39.0;46.0;2;1.0;0.0;1.0;2;5;3;1125;0;249;0;0;0;0;0;0;1
100.0;207.0;6;2.0;2.0;3.0;1;0;2;1125;0;0;0;0;0;0;0;0;1
100.0;6.0;4;1.0;1.0;2.0;1;20;4;1125;71;346;0;0;0;0;0;0;1
25.0;1.0;1;1.0;1.0;1.0;1;0;1;1125;85;360;1;0;0;0;0;0;1
15.0;1.0;1;1.0;1.0;1.0;1;0;1;1125;89;364;1;0;0;0;0;0;1
80.0;1.0;4;1.0;2.0;3.0;1;10;1;1125;45;164;0;0;0;0;0;0;1
125.0;68.0;6;1.0;3.0;3.0;4;15;7;1125;11;102;0;0;0;0;0;0;1
100.0;5.0;4;1.0;1.0;1.0;2;10;3;1125;70;70;0;0;0;0;0;0;1
30.0;8.0;2;0.0;1.0;1.0;1;5;3;1125;83;83;1;0;0;0;0;0;1
27.0;8.0;1;1.0;1.0;1.0;1;0;6;1125;84;359;1;0;0;0;0;0;1
100.0;1.0;2;1.0;1.0;1.0;1;0;2;1125;25;115;0;0;0;0;0;0;1
25.0;1.0;1;2.5;1.0;1.0;1;0;2;30;71;71;1;0;0;0;0;0;1
39.0;1.0;1;1.0;1.0;1.0;1;20;2;10;68;158;1;0;0;0;0;1;0
92.0;4.0;7;1.0;3.0;6.0;2;10;3;1125;21;288;0;0;0;0;0;0;1
69.0;5.0;2;1.0;1.0;1.0;1;0;3;60;51;321;0;0;0;0;0;0;1
60.0;1.0;2;1.0;0.0;2.0;2;15;4;1125;50;128;0;0;0;0;0;0;1
50.0;1.0;2;1.0;1.0;1.0;1;0;4;1125;0;0;0;0;0;0;0;0;1
35.0;1.0;2;1.0;1.0;1.0;1;10;1;1125;90;365;1;0;0;0;0;0;1
80.0;164.0;2;1.0;0.0;1.0;1;0;2;1125;31;306;0;0;0;0;0;1;0
67.0;15.0;2;1.0;1.0;1.0;1;0;2;1125;36;292;0;0;0;0;0;0;1
70.0;1.0;4;1.0;2.0;3.0;4;10;2;14;0;68;0;0;0;0;0;0;1
190.0;2.0;8;3.0;3.0;4.0;4;12;4;183;89;178;0;0;0;0;0;0;1
40.0;1.0;1;1.5;3.0;3.0;1;10;3;1125;62;337;1;0;0;0;0;0;1
99.0;12.0;3;1.0;1.0;2.0;2;15;7;1125;70;193;0;0;0;0;0;0;1
78.0;1.0;2;1.0;1.0;1.0;1;0;5;1125;5;280;0;0;0;0;0;0;1
85.0;2.0;3;1.0;1.0;2.0;2;10;2;1125;28;50;0;0;0;0;0;0;1
30.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;26;253;1;0;0;0;0;0;1
90.0;1.0;2;1.0;1.0;1.0;1;0;2;1125;0;0;0;0;0;0;0;0;1
32.0;38.0;1;2.0;1.0;1.0;1;0;7;1125;6;281;1;0;0;0;0;0;1
95.0;1.0;4;1.0;1.0;2.0;1;0;3;2000;0;239;0;0;0;0;0;0;1
40.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;90;365;1;0;0;0;0;0;1
45.0;2.0;1;1.0;1.0;1.0;1;0;1;1125;37;312;1;0;0;0;0;0;1
80.0;3.0;2;1.0;1.0;1.0;2;10;2;1125;1;1;0;0;0;0;0;0;1
95.0;2.0;4;1.0;1.0;1.0;1;20;2;1125;84;359;0;0;0;0;0;0;1
35.0;9.0;2;1.0;1.0;1.0;1;0;2;1125;33;116;1;0;0;0;0;0;1
40.0;46.0;2;1.0;0.0;1.0;1;0;1;1125;55;330;0;0;0;0;0;1;0
135.0;207.0;4;1.0;2.0;2.0;2;9;2;1125;67;229;0;0;0;0;0;0;1
55.0;3.0;2;2.0;1.0;1.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
20.0;3.0;1;2.0;1.0;6.0;1;0;30;30;90;301;1;0;0;0;0;0;1
119.0;6.0;4;1.0;1.0;1.0;5;20;1;1125;29;29;0;0;0;0;0;0;1
70.0;15.0;6;1.0;2.0;4.0;1;12;2;1125;39;228;0;0;0;0;0;0;1
65.0;5.0;11;2.0;4.0;7.0;1;0;1;1125;9;260;0;0;0;0;0;0;1
180.0;68.0;2;1.0;1.0;2.0;1;0;30;1125;0;214;0;0;0;0;0;0;1
26.0;1.0;2;1.0;1.0;1.0;1;0;2;1125;70;345;1;0;0;0;0;0;1
52.0;1.0;5;1.0;4.0;4.0;1;0;2;1125;50;322;0;0;0;0;0;0;1
20.0;1.0;1;1.0;1.0;1.0;1;0;1;2;89;89;0;1;0;1;0;0;0
60.0;1.0;7;1.0;2.0;4.0;3;15;2;365;31;258;0;0;0;0;0;0;1
25.0;3.0;3;1.5;1.0;1.0;2;12;1;1125;75;350;1;0;0;0;0;0;1
25.0;1.0;1;1.0;1.0;1.0;1;0;1;8;13;13;1;0;0;0;0;0;1
49.0;46.0;2;1.0;1.0;1.0;1;0;1;1125;13;252;0;0;0;0;0;0;1
15.0;1.0;1;2.0;1.0;1.0;1;0;1;10;67;157;1;0;0;0;0;0;1
141.0;10.0;6;2.0;3.0;4.0;1;0;2;1125;54;219;0;0;0;0;0;0;1
65.0;3.0;4;1.0;1.0;1.0;2;15;3;730;14;50;0;0;0;0;0;0;1
25.0;1.0;2;1.0;1.0;1.0;1;10;1;3;0;0;1;0;0;0;0;0;1
105.0;2.0;3;1.0;2.0;3.0;2;0;2;28;55;328;0;0;0;0;0;0;1
30.0;2.0;2;1.0;1.0;1.0;1;5;3;180;11;140;1;0;0;0;0;0;1
29.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;38;38;1;0;0;0;0;0;1
30.0;1.0;1;1.0;1.0;3.0;1;0;1;1125;90;365;0;1;0;0;0;0;1
90.0;1.0;4;1.0;1.0;2.0;2;0;5;600;43;318;0;0;0;0;0;0;1
130.0;40.0;4;1.0;2.0;3.0;1;0;3;1125;71;332;0;0;0;0;0;0;1
53.0;2.0;4;1.0;1.0;2.0;2;10;3;1125;41;316;0;0;0;0;0;0;1
82.0;51.0;3;2.0;2.0;2.0;2;10;4;360;58;318;0;0;0;0;0;0;1
45.0;2.0;3;1.0;1.0;2.0;2;20;3;1125;18;279;0;0;0;0;0;0;1
65.0;1.0;3;1.0;1.0;1.0;1;0;1;1125;46;136;0;0;0;0;0;0;1
24.0;4.0;1;0.5;1.0;2.0;1;5;5;1125;70;345;1;0;0;0;0;0;1
70.0;15.0;6;2.0;3.0;4.0;1;10;2;1125;58;120;0;0;0;0;0;0;1
180.0;15.0;8;2.0;2.0;4.0;1;0;1;1125;47;297;0;0;0;0;0;0;1
79.0;1.0;3;1.0;1.0;2.0;1;0;3;1125;0;244;0;0;0;0;0;0;1
220.0;1.0;8;2.0;3.0;5.0;6;20;3;1125;9;224;0;0;0;0;0;0;1
72.0;1.0;4;1.0;2.0;3.0;2;10;2;1125;9;201;0;0;0;0;0;0;1
105.0;2.0;4;1.0;2.0;3.0;1;0;2;1125;39;297;0;0;0;0;0;0;1
120.0;2.0;5;1.0;2.0;3.0;1;0;1;1125;10;260;0;0;0;0;0;0;1
110.0;3.0;5;1.0;2.0;2.0;3;20;3;1125;30;278;0;0;0;0;0;0;1
30.0;1.0;2;1.0;1.0;2.0;1;0;1;1125;81;356;1;0;0;0;0;0;1
20.0;5.0;2;2.0;1.0;2.0;1;0;2;30;39;39;1;0;0;0;0;0;1
99.0;2.0;3;2.0;1.0;1.0;2;15;2;30;54;329;0;0;0;0;0;0;1
32.0;1.0;2;1.0;1.0;1.0;1;15;1;1125;63;335;1;0;0;0;0;0;1
24.0;14.0;1;2.0;1.0;1.0;1;0;1;1125;65;340;1;0;0;0;0;0;1
30.0;1.0;2;2.5;1.0;1.0;1;0;1;1125;9;10;1;0;0;0;0;0;1
125.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;45;135;1;0;0;0;0;0;1
230.0;28.0;4;2.5;2.0;3.0;1;0;5;90;23;24;0;0;0;0;0;0;1
18.0;1.0;2;1.0;1.0;1.0;2;0;1;4;17;17;1;0;0;0;0;0;1
328.0;74.0;8;3.0;4.0;6.0;1;0;7;1125;45;108;0;0;0;0;0;0;1
80.0;1.0;4;1.0;1.0;2.0;1;0;2;1125;45;135;0;0;0;0;0;0;1
45.0;3.0;2;1.0;1.0;1.0;1;0;1;1125;69;344;0;0;0;0;0;0;1
65.0;3.0;3;1.0;1.0;1.0;1;20;1;1125;69;344;0;0;0;0;0;0;1
30.0;4.0;1;1.0;1.0;1.0;1;10;5;1125;32;307;1;0;0;0;0;0;1
21.0;2.0;1;1.0;1.0;1.0;1;0;2;1125;90;365;1;0;0;0;0;0;1
70.0;2.0;4;1.0;2.0;3.0;2;15;3;1125;14;247;0;0;0;0;0;0;1
17.0;1.0;1;1.0;1.0;1.0;1;0;1;4;63;63;1;0;0;0;0;0;1
18.0;15.0;2;1.0;1.0;2.0;1;17;1;60;1;268;1;0;0;0;0;0;1
43.0;8.0;2;1.0;1.0;1.0;1;0;1;1125;80;355;1;0;0;0;0;0;1
110.0;16.0;3;1.0;1.0;2.0;2;15;2;28;40;304;0;0;0;0;0;0;1
35.0;3.0;1;1.0;1.0;1.0;1;10;2;1125;10;224;1;0;0;0;0;0;1
60.0;2.0;2;1.0;1.0;1.0;1;0;2;4;90;365;1;0;0;0;0;0;1
30.0;3.0;2;1.0;1.0;1.0;1;20;2;1125;48;314;1;0;0;0;0;0;1
50.0;2.0;4;1.0;1.0;2.0;1;15;2;4;73;348;0;0;0;0;0;0;1
50.0;1.0;3;1.5;2.0;2.0;1;0;2;10;22;23;0;0;0;0;0;0;1
34.0;1.0;2;1.0;1.0;2.0;1;20;1;7;41;131;1;0;0;0;0;0;1
90.0;6.0;3;1.0;1.0;1.0;2;15;2;1125;20;262;0;0;0;0;0;0;1
20.0;1.0;2;1.5;1.0;1.0;1;6;7;1125;0;0;1;0;0;0;0;0;1
55.0;2.0;2;1.0;1.0;1.0;1;0;1;14;0;0;0;0;0;0;0;0;1
60.0;1.0;4;1.0;1.0;1.0;1;0;1;1125;0;0;0;0;0;0;0;0;1
70.0;1.0;2;1.0;1.0;1.0;3;0;3;1125;65;340;0;0;0;0;0;0;1
85.0;13.0;4;1.0;1.0;2.0;1;0;3;1125;65;247;0;0;0;0;0;0;1
60.0;3.0;2;1.0;0.0;1.0;1;0;3;1125;60;335;0;0;0;0;0;0;1
26.0;6.0;2;1.0;1.0;1.0;1;8;2;1125;0;0;1;0;0;0;0;0;1
100.0;1.0;4;1.0;1.0;1.0;2;20;2;1125;71;71;0;0;0;0;0;0;1
15.0;1.0;2;1.0;1.0;1.0;1;9;1;1125;43;318;1;0;0;0;0;0;1
80.0;5.0;4;1.0;1.0;1.0;2;15;3;1125;60;335;0;0;0;0;0;0;1
19.0;34.0;2;2.0;1.0;2.0;1;16;2;365;44;319;1;0;0;0;0;0;1
70.0;9.0;4;1.0;1.0;1.0;2;15;4;1125;44;319;0;0;0;0;0;0;1
80.0;1.0;4;1.0;2.0;2.0;2;10;3;1125;11;281;0;0;0;0;0;0;1
98.0;1.0;4;2.0;2.0;3.0;4;15;2;1125;46;136;0;0;0;0;0;0;1
45.0;2.0;2;2.0;1.0;2.0;1;0;1;365;90;365;1;0;0;0;0;0;1
110.0;207.0;2;1.0;1.0;1.0;1;0;2;1125;0;95;0;0;0;0;0;0;1
55.0;2.0;4;1.0;1.0;1.0;1;0;1;1125;69;159;0;0;0;0;0;0;1
